,company_name,job_title,experience,salary,location,desc,skills
2703,Shell India Markets Private Limited,AI Resident - Data Scientist - NLP,3-5 Yrs,Not disclosed,Bengaluru," Preferably expertise Deep Learning, Bayesian Learning Experience of developing advanced...","Data Science ,Bayesian Learning ,R ,NLP ,Artificial Intelligence ,Natural Language Processing ,Machine Learning ,MATLAB ,"
2704,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Senior Data Scientist (9+ years),9-14 Yrs,"22,50,000 - 25,00,000 PA.","Pune, Mumbai", Data Science job opportunity in Mumbai/Pune with a fortune 500 firm with at least 5 yea...,"Data Science ,R ,NLP ,Natural Language Processing ,Neural Networks ,Statistical Modeling ,Machine Learning ,Deep Learning ,"
2705,AlgoAnalytics Private Ltd.,Senior Data Scientist,3-8 Yrs,Not disclosed,Pune(Baner), Bachelors / Masters in Engineering / Mathematics/Statistics with sound knowledge of pro...,"Data Science ,Project Management ,Artificial Intelligence ,Natural Language Processing ,Computer Vision ,Machine Learning ,Deep Learning ,"
2706,ACHYUTAS SOFT PRIVATE LIMITED ,Fresher  Data Engineer / Data Scientist / Data Analyst Requirements,0-2 Yrs,"3,50,000 - 8,50,000 PA.","Delhi NCR, Bengaluru, Hyderabad", Building and iterating reports (with eventual design collaboration) based around a larg...,"Data Science ,Tensorflow ,Deeplearning ,Data Analysis ,Machine Learning ,Python ,SQL ,"
2707,ELLIE MAE INDIA PRIVATE LIMITED,Senior Data Scientist,7-9 Yrs,Not disclosed,Pune," Experience with common data science toolkits, such as Sklearn, NumPy and MLib PhD degre...","Pytorch ,Tensorflow ,Data Science ,NLP ,Image Processing ,Neural Networks ,Python programming ,Computer Vision ,"
2708,GlobusSoft,Junior Data Scientist - Bangalore,1-3 Yrs,"2,00,000 - 5,00,000 PA.",Bengaluru(5th block Koramangala)," Must have skills: Python, ML/DL, NLP, Web/Data Scraping Selecting features, building an...","Natural Language Processing ,Machine Learning ,Python ,Predictive Modeling ,Data Science ,NLP ,NoSQL ,Data Mining ,"
2709,Hyper Thread Solutions Pvt. Ltd.,Hiring For Data Scientist 3-7 Years Experience,3-7 Yrs,Not disclosed,Hyderabad, Must have worked hands on in either one of these areas - Chatbots / Computer Vision / N...,"IT Skills ,Python ,Data Science ,Machine Learning ,Artificial Intelligence ,Tensorflow ,Nltk ,Data Science ,"
2710,Walmart Labs,Staff Data Scientist,5-10 Yrs,Not disclosed,Bengaluru, You preferably have domain knowledge of eCommerce PhD / Doctor of Philosophy or Master ...,"Computer science ,Computer vision ,deep learning ,data science ,Data modeling ,Machine learning ,E-commerce ,Data processing ,"
2711,DataWeave Software Pvt Ltd,Data Scientist,2-5 Yrs,Not disclosed,Bengaluru, Be proficient in Git and other essential software development toolsExperience building ...,"Computer vision ,deep learning ,Backend ,data science ,Machine learning ,Data processing ,Natural language processing ,Research ,"
2712,Larsen & Toubro Infotech Limited,SR DATA Scientist,5-9 Yrs,Not disclosed,India, Job Description Python Machine Learning and Deep Learning Natural Language Processing T...,"IT Skills ,Python ,Data Science ,Machine Learning ,Artificial Intelligence ,deep learning ,Data analysis ,data science ,"
2713,CarbyneTech India,Data Scientist - Machine Learning/APICS,3-8 Yrs,Not disclosed,Hyderabad, Must have APICS CPIM Certification Manufacturing domain - predictive and online quality...,"Data Science ,R ,APICS ,NLP ,Neural networks ,Artificial Intelligence ,Data Management ,Machine Learning ,"
